address_from,address_to,amount,date_time
\xa7fb9d754dfc92da472d488feb4840b6f1e9f792,\x74312363e45dcaba76c59ec49a7aa8a65a67eed3,0.03800000000000000000,2022-08-05T18:39:38+00:00
\x8743e4b8425a45d8f819931dc42bae8ee0a3258f,\x9ba7f2820e9a88e5fd3b8863c56fcfe2db28bcf6,0.10000000000000000000,2022-08-05T18:39:38+00:00
\x8e136d01959445bde146611576c9295f315c9bd5,\x74312363e45dcaba76c59ec49a7aa8a65a67eed3,0.03800000000000000000,2022-08-05T18:39:38+00:00
\xba6a52f8fab6d32372e232bfa0833cee835f1dd3,\x74312363e45dcaba76c59ec49a7aa8a65a67eed3,0.04140000000000000000,2022-08-05T18:39:38+00:00
\xbbdd1b3c87c211e482cda98ea14fa8bf50022ca0,\x74312363e45dcaba76c59ec49a7aa8a65a67eed3,0.03800000000000000000,2022-08-05T18:39:38+00:00
\x577dc38b0bd8cf702e74a0b338d1985dedaf06c3,\x74312363e45dcaba76c59ec49a7aa8a65a67eed3,0.03800000000000000000,2022-08-05T18:39:38+00:00
\x506c082ae6caabba8a37bd5a8b671aeac4f68164,\x58124619a4ea38d215d36c962ac5cd73462acdd6,0.000000000000000000000000000000000000,2022-08-05T18:39:38+00:00
\xd3a3e3a59eeb8329edfd604bd32bec18289666f7,\xb9384b683ad0b893d1fe2aba5d936779875597b2,0.00060287749151362600,2022-08-05T18:39:38+00:00
\xcad793f1d1355514ab37c96fa4a6578179b967d9,\x74312363e45dcaba76c59ec49a7aa8a65a67eed3,0.03800000000000000000,2022-08-05T18:39:38+00:00
\xaa63c496aa7b7b3bec521d3c48de7b74b678c2f9,\xe9b5a95215df9216157ce485e5287401876916e2,0.00596484700000000000,2022-08-05T18:39:38+00:00
\xbea725c96d8c1cbfd507ebe943ad178e7432df70,\x7a250d5630b4cf539739df2c5dacb4c659f2488d,0.20000000000000000000,2022-08-05T18:39:38+00:00
